DVD_Title|Studio|Released|Status|Sound|Versions|Price|Rating|Year|Genre|Aspect|UPC|DVD_ReleaseDate|ID|Timestamp|Updated
Beyond Therapy (Anchor Bay)|Anchor Bay||Out|5.1|LBX, 16:9|9.98|R|1987|Comedy|1.85:1|013131222098|2003-12-02 00:00:00|35039|2013-11-21 00:00:00|1
Bible On Trial|Vision Video||Out|2.0|4:3|19.99|NR|UNK|Special Interest|1.33:1|727985015569|2013-11-19 00:00:00|254063|2013-11-19 00:00:00|1
Bible Readeez (DVD/CD Combo)|Readeez Company||Out|2.0|4:3|17.98|NR|2013|Special Interest|1.33:1|700261392141|2013-11-19 00:00:00|255254|2013-11-19 00:00:00|1
Big Ass Spider!|Epic Pictures|2014-01-07 00:00:00|Pending|2.0|LBX, 16:9|14.99|PG-13|2013|SciFi|1.85:1|687797938497|2014-01-07 00:00:00|255989|2013-11-21 00:00:00|1
Big Ass Spider! (Blu-ray)|Epic Pictures|2014-01-07 00:00:00|Pending|2.0|LBX, 16:9, BLU-RAY|19.99|PG-13|2013|SciFi|1.85:1|687797938466|2014-01-07 00:00:00|255981|2013-11-21 00:00:00|1
Big Black Comedy Show, Vol. 4|Fox||Out|2.0|LBX|9.98|NR|2005|Comedy|1.78:1|024543194590|2005-11-08 00:00:00|69976|2013-11-21 00:00:00|1
Big Momma's House (Widescreen)|Fox||Out|5.1|LBX, 16:9|9.98|PG-13|2000|Comedy|1.85:1|024543008194|2001-04-03 00:00:00|8006|2013-11-21 00:00:00|1
Bill Cosby: Himself / Fat Albert|Fox|2014-01-21 00:00:00|Pending|VAR|VAR|14.98|PG|VAR|Comedy|VAR|024543931362|2014-01-21 00:00:00|256239|2013-11-22 00:00:00|0
Billy Blanks: PT24/7|Anchor Bay||Out|2.0|LBX, 16:9|79.98|NR|2011|Exercise|1.78:1|013132418391|2011-10-25 00:00:00|217425|2013-11-21 00:00:00|1
Billy Blanks: Tae Bo Ripped Extreme (Susan G. Komen Edition)|Anchor Bay||Out|2.0|LBX, 16:9|14.98|NR|2011|Exercise|1.78:1|013132372693|2011-09-27 00:00:00|224834|2013-11-21 00:00:00|1
Billy Blanks: This Is Tae Bo (SGK)|Anchor Bay||Out|2.0|4:3|14.98|NR|UNK|Exercise|1.33:1|013132199696|2010-10-05 00:00:00|187370|2013-11-21 00:00:00|1
Billy Graham: My Hope:  America With Billy Graham|Pure Flix Entertainment||Out|2.0|LBX, 16:9|19.99|NR|UNK|Special Interest|1.78:1|857533003493|2013-11-19 00:00:00|248883|2013-11-19 00:00:00|1
Binbo-Gami Ga!: Good Luck Girl!: The Complete Series (DVD & Blu-ray Combo)|FUNimation||Out|SUB|LBX, 16:9, BLU-RAY|64.98|MA17|2012|Anime|1.75:1|704400092022|2013-11-19 00:00:00|251511|2013-11-19 00:00:00|1
Binbo-Gami Ga!: Good Luck Girl!: The Complete Series (Limited Edition/ DVD & Blu-ray Combo)|FUNimation||Out|SUB|LBX, 16:9, BLU-RAY|69.98|MA17|2012|Anime|1.75:1|704400092015|2013-11-19 00:00:00|251515|2013-11-19 00:00:00|1
Biology Of Snail-Killing Sciomyzidae Flies (Book w/ DVD)|Cambridge University Press||Out|2.0|4:3|159|NR|2011|Special Interest|1.33:1|9780521867856|2011-11-21 00:00:00|220315|2013-11-21 00:00:00|1
